r         V1

20.170000 0.293491
20.170000 1.403013
20.170000 0.293886
20.170000 1.402801
20.170000 0.293822
20.170000 1.402895
20.170000 0.293572
20.170000 1.402865
20.170000 0.293855
20.170000 1.403038
20.170000 0.293863
20.170000 1.402922
20.170000 0.293665
20.170000 1.402737
20.170000 0.293912
20.170000 1.402964
20.170000 0.293753
20.170000 1.402922
20.170000 0.293711
20.170000 1.402811
20.170000 0.293930
20.170000 1.402852
20.170000 0.293721
20.170000 1.402841
20.170000 0.293711
20.170000 1.402973
20.170000 0.293849
20.170000 1.402713
20.170000 0.293518
20.170000 1.402701
20.170000 0.293663
20.170000 1.403074
20.170000 0.293905
20.170000 1.402671
20.170000 0.293622
20.170000 1.402793
20.170000 0.293570
20.170000 1.403152
20.170000 0.293710
20.170000 1.402979
20.170000 0.293509
20.170000 1.402949
20.170000 0.293485
20.170000 1.402848
20.170000 0.293812
20.170000 1.403104
20.170000 0.293670
20.170000 1.403024
20.170000 0.293641
20.170000 1.403023
20.170000 0.293524
20.170000 1.403077
20.170000 0.293804
20.170000 1.403103
20.170000 0.293766
20.170000 1.403028
20.170000 0.293573
20.170000 1.403011
20.170000 0.293907
20.170000 1.403110
20.170000 0.293851
20.170000 1.402961
20.170000 0.293774
20.170000 1.402865
20.170000 0.293872
20.170000 1.403062
20.170000 0.293895
20.170000 1.402911
20.170000 0.293869
20.170000 1.402748
20.170000 0.293852
20.170000 1.402964
20.170000 0.293899
20.170000 1.402992
20.170000 0.293822
20.170000 1.403121
20.170000 0.293827
20.170000 1.402798
20.170000 0.293861
20.170000 1.402829
20.170000 0.293745
20.170000 1.402726
20.170000 0.293788
20.170000 1.402723
20.170000 0.293780
20.170000 1.402660
20.170000 0.293744
20.170000 1.403010
20.170000 0.293713
20.170000 1.402916
20.170000 0.293644
20.170000 1.402842
20.170000 0.293459
20.170000 1.402698
20.170000 0.293746
20.170000 1.403052
20.170000 0.293731
20.170000 1.402993
20.170000 0.293682
20.170000 1.402689
20.170000 0.293556
20.170000 1.403127
20.170000 0.293798
20.170000 1.403108
20.170000 0.293505
20.170000 1.402855
20.170000 0.293572
20.170000 1.403138
20.170000 0.293869
20.170000 1.403106
20.170000 0.293642
20.170000 1.402957
20.170000 0.293746
20.170000 1.403080
20.170000 0.293905
20.170000 1.403098
20.170000 0.293829
20.170000 1.402964
20.170000 0.293871
20.170000 1.402767
20.170000 0.293903
20.170000 1.403066
20.170000 0.293866
20.170000 1.402904
20.170000 0.293858
20.170000 1.403156
20.170000 0.293921
20.170000 1.403039
20.170000 0.293494
20.170000 1.403103
20.170000 0.293830
20.170000 1.402881
20.170000 0.293793
20.170000 1.402968
20.170000 0.293478
20.170000 1.403017
20.170000 0.293804
20.170000 1.403073
20.170000 0.293609
20.170000 1.402861
20.170000 0.293492
20.170000 1.403067
