r         V1

20.690000 0.293084
20.690000 1.328260
20.690000 0.092467
20.690000 1.766285
20.690000 0.376824
20.690000 1.149814
20.690000 0.125708
20.690000 1.695018
20.690000 0.293105
20.690000 1.328335
20.690000 0.092373
20.690000 1.766318
20.690000 0.376821
20.690000 1.149794
20.690000 0.125598
20.690000 1.695005
20.690000 0.293117
20.690000 1.328404
20.690000 0.092461
20.690000 1.766294
20.690000 0.376830
20.690000 1.149793
20.690000 0.125701
20.690000 1.695024
20.690000 0.293102
20.690000 1.328382
20.690000 0.092358
20.690000 1.766293
20.690000 0.376749
20.690000 1.149768
20.690000 0.125707
20.690000 1.694906
20.690000 0.293000
20.690000 1.328380
20.690000 0.092473
20.690000 1.766162
20.690000 0.376849
20.690000 1.149774
20.690000 0.125720
20.690000 1.694917
20.690000 0.293100
20.690000 1.328326
20.690000 0.092364
20.690000 1.766250
20.690000 0.376811
20.690000 1.149838
20.690000 0.125674
20.690000 1.694999
20.690000 0.293005
20.690000 1.328289
20.690000 0.092470
20.690000 1.766278
20.690000 0.376815
20.690000 1.149810
20.690000 0.125643
20.690000 1.695003
20.690000 0.293102
20.690000 1.328397
20.690000 0.092374
20.690000 1.766215
20.690000 0.376748
20.690000 1.149780
20.690000 0.125678
20.690000 1.694923
20.690000 0.292996
20.690000 1.328320
20.690000 0.092360
20.690000 1.766286
20.690000 0.376750
20.690000 1.149684
20.690000 0.125701
20.690000 1.694863
20.690000 0.293101
20.690000 1.328423
20.690000 0.092427
20.690000 1.766210
20.690000 0.376786
20.690000 1.149729
20.690000 0.125710
20.690000 1.694886
20.690000 0.293086
20.690000 1.328252
20.690000 0.092471
20.690000 1.766200
20.690000 0.376832
20.690000 1.149710
20.690000 0.125629
20.690000 1.695023
20.690000 0.293116
20.690000 1.328314
20.690000 0.092440
20.690000 1.766158
20.690000 0.376771
20.690000 1.149821
20.690000 0.125668
20.690000 1.695025
20.690000 0.292989
20.690000 1.328256
20.690000 0.092373
20.690000 1.766295
20.690000 0.376733
20.690000 1.149811
20.690000 0.125610
20.690000 1.694965
20.690000 0.293103
20.690000 1.328401
20.690000 0.092395
20.690000 1.766295
20.690000 0.376739
20.690000 1.149798
20.690000 0.125659
20.690000 1.694922
20.690000 0.293078
20.690000 1.328373
20.690000 0.092440
20.690000 1.766234
20.690000 0.376750
20.690000 1.149739
20.690000 0.125692
20.690000 1.694954
20.690000 0.293098
20.690000 1.328380
20.690000 0.092349
20.690000 1.766163
20.690000 0.376844
20.690000 1.149830
20.690000 0.125707
20.690000 1.695022
20.690000 0.292986
20.690000 1.328351
20.690000 0.092447
20.690000 1.766249
20.690000 0.376701
20.690000 1.149828
20.690000 0.125615
20.690000 1.695020
20.690000 0.293069
20.690000 1.328365
